County,Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
Adams,Statewide Initiative Measure 985 concerns transportation,Yes,,1425,33,Statewide
Adams,Statewide Initiative Measure 985 concerns transportation,No,,2893,67,Statewide
Adams,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,2008,44.35,Statewide
Adams,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,2520,55.65,Statewide
Adams,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,3201,71.42,Statewide
Adams,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,1281,28.58,Statewide
Adams,ADAMS COUNTY Proposition #1 Juvenile Detention Facilities and Jails,Approved,,1824,40.97,ADAMS COUNTY
Adams,ADAMS COUNTY Proposition #1 Juvenile Detention Facilities and Jails,Rejected,,2628,59.03,ADAMS COUNTY
Adams,ADAMS COUNTY Proposition #2 Emergency Communication Systems and Facilities,Approved,,2248,50.61,ADAMS COUNTY
Adams,ADAMS COUNTY Proposition #2 Emergency Communication Systems and Facilities,Rejected,,2194,49.39,ADAMS COUNTY
Adams,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,1552,31.95,United States
Adams,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,3222,66.32,United States
Adams,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,44,0.91,United States
Adams,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,2,0.04,United States
Adams,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,2,0.04,United States
Adams,United States President/Vice President,Bob Barr / Wayne A. Root,Libertarian Party Nominees,16,0.33,United States
Adams,United States President/Vice President,Chuck Baldwin / Darrell L. Castle,Constitution Party Nominees,18,0.37,United States
Adams,United States President/Vice President,Cynthia McKinney / Rosa Clemente,Green Party Nominees,2,0.04,United States
Adams,U.S. Congressional District 4 Representative,Doc Hastings,(Prefers Republican Party),1522,67.08,U.S. Congressional District 4
Adams,U.S. Congressional District 4 Representative,George Fearing,(Prefers Democratic Party),747,32.92,U.S. Congressional District 4
Adams,U.S. Congressional District 5 Representative,Cathy McMorris Rodgers,(Prefers Republican Party),1964,82.45,U.S. Congressional District 5
Adams,U.S. Congressional District 5 Representative,Mark Mays,(Prefers Democratic Party),418,17.55,U.S. Congressional District 5
Adams,Washington State Governor,Christine Gregoire,(Prefers Democratic Party),1453,30.17,Washington State
Adams,Washington State Governor,Dino Rossi,(Prefers G.O.P. Party),3363,69.83,Washington State
Adams,Washington State Lt. Governor,Brad Owen,(Prefers Democratic Party),1984,44.18,Washington State
Adams,Washington State Lt. Governor,Marcia McCraw,(Prefers Republican Party),2507,55.82,Washington State
Adams,Washington State Secretary of State,Sam Reed,(Prefers Republican Party),3372,74.6,Washington State
Adams,Washington State Secretary of State,Jason Osgood,(Prefers Democratic Party),1148,25.4,Washington State
Adams,Washington State State Treasurer,Allan Martin,(Prefers Republican Party),2981,67.25,Washington State
Adams,Washington State State Treasurer,Jim McIntire,(Prefers Democratic Party),1452,32.75,Washington State
Adams,Washington State State Auditor,Brian Sonntag,(Prefers Democratic Party),1935,43.44,Washington State
Adams,Washington State State Auditor,J. Richard (Dick) McEntee,(Prefers Republican Party),2519,56.56,Washington State
Adams,Washington State Attorney General,Rob McKenna,(Prefers Republican Party),3480,76.28,Washington State
Adams,Washington State Attorney General,John Ladenburg,(Prefers Democratic Party),1082,23.72,Washington State
Adams,Washington State Commissioner of Public Lands,Doug Sutherland,(Prefers Republican Party),3077,68.5,Washington State
Adams,Washington State Commissioner of Public Lands,Peter J. Goldmark,(Prefers Democratic Party),1415,31.5,Washington State
Adams,Washington State Superintendent of Public Instruction,Teresa (Terry) Bergeson,,2075,48.44,Washington State
Adams,Washington State Superintendent of Public Instruction,Randy Dorn,,2209,51.56,Washington State
Adams,Washington State Insurance Commissioner,Mike Kreidler,(Prefers Democratic Party),1629,37.41,Washington State
Adams,Washington State Insurance Commissioner,John R. Adams,(Prefers Republican Party),2726,62.59,Washington State
Adams,Legislative District 9 State Senator,Mark G. Schoesler,(Prefers G.O.P. Party),4048,100,Legislative District 9
Adams,Legislative District 9 State Representative Pos. 1,Steve Hailey,(Prefers G.O.P. Party),3185,70.76,Legislative District 9
Adams,Legislative District 9 State Representative Pos. 1,Kenneth E. Caylor,(Prefers Democratic Party),1316,29.24,Legislative District 9
Adams,Legislative District 9 State Representative Pos. 2,Joe Schmick,(Prefers Republican Party),3317,73.65,Legislative District 9
Adams,Legislative District 9 State Representative Pos. 2,Tyana Kelley,(Prefers Democratic Party),1187,26.35,Legislative District 9
Adams,ADAMS COUNTY County Commissioner District 1,John N. Marshall,(Prefers Republican Party),1889,43.66,ADAMS COUNTY
Adams,ADAMS COUNTY County Commissioner District 1,Rudy Plager,(Prefers Republican Party),2438,56.34,ADAMS COUNTY
Adams,ADAMS COUNTY County Commissioner District 2,Roger L. Hartwig,(Prefers Republican Party),3682,100,ADAMS COUNTY
Adams,Supreme Court Justice Position 3,Mary Fairhurst,,3386,100,Supreme Court
Adams,Supreme Court Justice Position 4,Charles W. Johnson,,3327,100,Supreme Court
Adams,Supreme Court Justice Position 7,Debra L. Stephens,,3318,100,Supreme Court
Adams,Adams Superior Court  Judge Position 1,Richard W. Miller,,3579,100,Adams Superior Court 
Adams,SCHOOL DISTRICT 122 - BENGE Proposition No. 1,Yes,,22,81.48,SCHOOL DISTRICT 122 - BENGE
Adams,SCHOOL DISTRICT 122 - BENGE Proposition No. 1,No,,5,18.52,SCHOOL DISTRICT 122 - BENGE
Adams,FIRE DISTRICT 4 Proposition No. 1,Yes,,6,100,FIRE DISTRICT 4
Adams,FIRE DISTRICT 4 Proposition No. 1,No,,0,0,FIRE DISTRICT 4
Adams,CEMETERY DISTRICT 3 Proposition No. 1,Yes,,298,63.95,CEMETERY DISTRICT 3
Adams,CEMETERY DISTRICT 3 Proposition No. 1,No,,168,36.05,CEMETERY DISTRICT 3
Adams,WASHTUCNA PARK AND RECREATION 2 Proposition No. 1,Yes,,117,60.94,WASHTUCNA PARK AND RECREATION 2
Adams,WASHTUCNA PARK AND RECREATION 2 Proposition No. 1,No,,75,39.06,WASHTUCNA PARK AND RECREATION 2
Adams,LIND PARK AND RECREATION 3 Proposition No. 1,Yes,,282,61.84,LIND PARK AND RECREATION 3
Adams,LIND PARK AND RECREATION 3 Proposition No. 1,No,,174,38.16,LIND PARK AND RECREATION 3
Asotin,Statewide Initiative Measure 985 concerns transportation,Yes,,3090,34.82,Statewide
Asotin,Statewide Initiative Measure 985 concerns transportation,No,,5783,65.18,Statewide
Asotin,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,5391,55.92,Statewide
Asotin,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,4249,44.08,Statewide
Asotin,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,7011,73.19,Statewide
Asotin,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,2568,26.81,Statewide
Asotin,ASOTIN COUNTY Formation of Cemetery District,Yes,,5970,66.11,ASOTIN COUNTY
Asotin,ASOTIN COUNTY Formation of Cemetery District,No,,3061,33.89,ASOTIN COUNTY
Asotin,ASOTIN COUNTY Sales Tax  Sales Tax,Yes,,2963,31.12,ASOTIN COUNTY
Asotin,ASOTIN COUNTY Sales Tax  Sales Tax,No,,6557,68.88,ASOTIN COUNTY
Asotin,ASOTIN COUNTY Asotin County Advisory Vote,Yes,,5326,57.31,ASOTIN COUNTY
Asotin,ASOTIN COUNTY Asotin County Advisory Vote,No,,3968,42.69,ASOTIN COUNTY
Asotin,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,4139,42.32,United States
Asotin,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,5451,55.74,United States
Asotin,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,118,1.21,United States
Asotin,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,0,0,United States
Asotin,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,1,0.01,United States
Asotin,United States President/Vice President,Bob Barr / Wayne A. Root,Libertarian Party Nominees,19,0.19,United States
Asotin,United States President/Vice President,Chuck Baldwin / Darrell L. Castle,Constitution Party Nominees,44,0.45,United States
Asotin,United States President/Vice President,Cynthia McKinney / Rosa Clemente,Green Party Nominees,8,0.08,United States
Asotin,U.S. Congressional District 5 Representative,Cathy McMorris Rodgers,(Prefers Republican Party),6422,67.96,U.S. Congressional District 5
Asotin,U.S. Congressional District 5 Representative,Mark Mays,(Prefers Democratic Party),3028,32.04,U.S. Congressional District 5
Asotin,Washington State Governor,Christine Gregoire,(Prefers Democratic Party),4254,43.92,Washington State
Asotin,Washington State Governor,Dino Rossi,(Prefers G.O.P. Party),5432,56.08,Washington State
Asotin,Washington State Lt. Governor,Brad Owen,(Prefers Democratic Party),4656,50.57,Washington State
Asotin,Washington State Lt. Governor,Marcia McCraw,(Prefers Republican Party),4551,49.43,Washington State
Asotin,Washington State Secretary of State,Sam Reed,(Prefers Republican Party),5727,62.64,Washington State
Asotin,Washington State Secretary of State,Jason Osgood,(Prefers Democratic Party),3416,37.36,Washington State
Asotin,Washington State State Treasurer,Allan Martin,(Prefers Republican Party),5120,56.43,Washington State
Asotin,Washington State State Treasurer,Jim McIntire,(Prefers Democratic Party),3954,43.58,Washington State
Asotin,Washington State State Auditor,Brian Sonntag,(Prefers Democratic Party),4559,50.18,Washington State
Asotin,Washington State State Auditor,J. Richard (Dick) McEntee,(Prefers Republican Party),4527,49.82,Washington State
Asotin,Washington State Attorney General,Rob McKenna,(Prefers Republican Party),5812,63.2,Washington State
Asotin,Washington State Attorney General,John Ladenburg,(Prefers Democratic Party),3384,36.8,Washington State
Asotin,Washington State Commissioner of Public Lands,Doug Sutherland,(Prefers Republican Party),5180,56.78,Washington State
Asotin,Washington State Commissioner of Public Lands,Peter J. Goldmark,(Prefers Democratic Party),3943,43.22,Washington State
Asotin,Washington State Superintendent of Public Instruction,Teresa (Terry) Bergeson,,4699,55.93,Washington State
Asotin,Washington State Superintendent of Public Instruction,Randy Dorn,,3702,44.07,Washington State
Asotin,Washington State Insurance Commissioner,Mike Kreidler,(Prefers Democratic Party),4275,48.22,Washington State
Asotin,Washington State Insurance Commissioner,John R. Adams,(Prefers Republican Party),4590,51.78,Washington State
